GENESIS-Tabelle: Temporär
Bevölkerung: Kreise, Stichtag;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.1995;31.12.1996;31.12.1997;31.12.1998;31.12.1999;31.12.2000;31.12.2001;31.12.2002;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013
01001;Flensburg, kreisfreie Stadt;87276;86630;85547;84742;84449;84281;84480;84704;85300;85762;86080;86630;87792;88718;88502;88759;82801;83462;83971
01002;Kiel, kreisfreie Stadt;246033;243728;240516;237337;233795;232612;232242;233270;233039;233329;234433;235366;236902;237579;238281;239526;237667;239866;241533
01003;Lübeck, kreisfreie Stadt;216986;215673;215376;214017;213326;213399;213496;213301;212754;211874;211825;211213;211541;210892;209818;210232;210679;211713;212958
01004;Neumünster, kreisfreie Stadt;82028;81796;81322;80803;80243;79831;79646;79544;78951;78555;78072;77936;77595;77100;76897;76830;77201;76951;77058
01051;Dithmarschen, Landkreis;133428;134927;135773;136547;136920;137174;137447;137447;137428;137398;137261;136829;136451;135759;135279;134798;133487;132965;132665
01053;Herzogtum Lauenburg, Landkreis;170058;172133;174127;175690;177703;179848;181661;183804;184896;185958;186471;186911;187094;186984;186629;186874;187296;187905;189043
01054;Nordfriesland, Landkreis;159048;160725;162084;163080;163974;164280;165026;165678;166342;166610;166956;166783;166727;166270;165771;165480;163029;162237;161923
01055;Ostholstein, Landkreis;197378;198276;199229;200168;201400;202247;203386;204498;205140;205589;206040;205952;205688;205191;204948;204454;197960;197882;197835
01056;Pinneberg, Landkreis;282538;284854;286416;288109;289557;291609;293914;295643;296941;298272;299392;300402;301320;301518;302430;303481;297307;298826;301223
01057;Plön, Landkreis;125391;127167;129197;130838;131960;132895;133624;134368;135038;135446;135655;135562;135422;134912;134573;134291;127212;126721;126643
01058;Rendsburg-Eckernförde, Landkreis;258040;260723;263636;265739;268220;270110;271643;272681;273133;273130;273039;272591;272488;271393;270626;269778;268846;268058;268075
01059;Schleswig-Flensburg, Landkreis;188129;190659;192895;194568;196416;197754;198390;199227;199608;199999;199671;199264;199101;198649;198426;197903;195721;194911;195135
01060;Segeberg, Landkreis;237083;239705;242253;244781;247611;250112;252758;254165;255631;256166;257002;257749;258336;257945;258150;259200;261141;261988;263202
01061;Steinburg, Landkreis;133184;133974;134998;135161;135798;136027;136548;136913;136996;136978;136470;135834;134664;134090;133370;132897;130543;130135;130017
01062;Stormarn, Landkreis;208861;211323;213104;214477;215903;217582;219988;221264;221974;223694;224583;225232;226252;227260;228327;229756;231376;232911;234674
02000;Hamburg, kreisfreie Stadt;1707901;1707986;1704731;1700089;1704735;1715392;1726363;1728806;1734083;1734830;1743627;1754182;1770629;1772100;1774224;1786448;1718187;1734272;1746342
03101;Braunschweig, kreisfreie Stadt;252544;251320;248944;247241;246322;245816;245516;245392;245076;245872;245273;245467;245810;246012;247400;248867;243829;245798;247227
03102;Salzgitter, kreisfreie Stadt;117713;116865;115453;114104;112934;112302;111696;110817;109855;108763;107726;106665;105320;104423;103446;102394;98588;98095;98197
03103;Wolfsburg, kreisfreie Stadt;126331;124655;122798;122185;121954;121805;121887;122331;122724;122148;121199;120493;120009;120538;121109;121451;120889;121758;122457
03151;Gifhorn, Landkreis;161826;163964;165890;167840;170033;171501;172880;173863;174696;175192;175298;174974;174401;173765;173223;172643;170865;171015;171475
03152;Göttingen, Landkreis;266150;267233;268099;266320;265819;265396;265058;264952;264285;263611;262091;261398;261260;259902;259281;258255;248025;247988;248249
03153;Goslar, Landkreis;161549;160273;158979;157955;157013;156247;155610;154638;153825;152758;151452;149656;148091;146187;144680;143014;139575;138655;137833
03154;Helmstedt, Landkreis;101829;101237;100900;100697;100634;100033;99527;99140;98732;98470;97749;96972;95871;94870;93903;92836;90919;90391;90423
